chrom	start	end	0	0.1	0.2	0.3	0.4	0.5	0.1.1	0.2.1	0.3.1	0.4.1	0.6	0.1.2	0.2.2	0.3.2	0.4.2	0.7	0.1.3	0.2.3	0.3.3	0.4.3	0.8	0.1.4	0.2.4	0.3.4	0.4.4	0.9	0.1.5	0.2.5	0.3.5	0.4.5	0.10	0.1.6	0.2.6	0.3.6	0.4.6	0.11	0.1.7	0.2.7	0.3.7	0.4.7	0.12	0.1.8	0.2.8	0.3.8	0.4.8	0.13	0.1.9	0.2.9	0.3.9	0.4.9	0.14	0.1.10	0.2.10	0.3.10	0.4.10	0.15	0.1.11	0.2.11	0.3.11	0.4.11	0.16	0.1.12	0.2.12	0.3.12	0.4.12	0.17	0.1.13	0.2.13	0.3.13	0.4.13	0.18	0.1.14	0.2.14	0.3.14	0.4.14	0.19	0.1.15	0.2.15	0.3.15	0.4.15	0.20	0.1.16	0.2.16	0.3.16	0.4.16	0.21	0.1.17	0.2.17	0.3.17	0.4.17	0.22	0.1.18	0.2.18	0.3.18	0.4.18	0.23	0.1.19	0.2.19	0.3.19	0.4.19	0.24	0.1.20	0.2.20	0.3.20	0.4.20	0.25	0.1.21	0.2.21	0.3.21	0.4.21	0.26	0.1.22	0.2.22	0.3.22	0.4.22	0.27	0.1.23	0.2.23	0.3.23	0.4.23	0.28	0.1.24	0.2.24	0.3.24	0.4.24	0.29	0.1.25	0.2.25	0.3.25	0.4.25	0.30	0.1.26	0.2.26	0.3.26	0.4.26	0.31	0.1.27	0.2.27	0.3.27	0.4.27	0.32	0.1.28	0.2.28	0.3.28	0.4.28	0.33	0.1.29	0.2.29	0.3.29	0.4.29	0.34	0.1.30	0.2.30	0.3.30	0.4.30	0.35	0.1.31	0.2.31	0.3.31	0.4.31	0.36	0.1.32	0.2.32	0.3.32	0.4.32	0.37	0.1.33	0.2.33	0.3.33	0.4.33	0.38	0.1.34	0.2.34	0.3.34	0.4.34	0.39	0.1.35	0.2.35	0.3.35	0.4.35	0.40	0.1.36	0.2.36	0.3.36	0.4.36	0.41	0.1.37	0.2.37	0.3.37	0.4.37	0.42	0.1.38	0.2.38	0.3.38	0.4.38	0.43	0.1.39	0.2.39	0.3.39	0.4.39	0.44	0.1.40	0.2.40	0.3.40	0.4.40	0.45	0.1.41	0.2.41	0.3.41	0.4.41	0.46	0.1.42	0.2.42	0.3.42	0.4.42	0.47	0.1.43	0.2.43	0.3.43	0.4.43	0.48	0.1.44	0.2.44	0.3.44	0.4.44	0.49	0.1.45	0.2.45	0.3.45	0.4.45	0.50	0.1.46	0.2.46	0.3.46	0.4.46	0.51	0.1.47	0.2.47	0.3.47	0.4.47	0.52	0.1.48	0.2.48	0.3.48	0.4.48	0.53	0.1.49	0.2.49	0.3.49	0.4.49	0.54	0.1.50	0.2.50	0.3.50	0.4.50	0.55	0.1.51	0.2.51	0.3.51	0.4.51	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140
chr1	1514000	1514499	6	16	25	24	11	2	26	42	49	19	2	9	11	12	2	3	8	16	15	8	14	36	25	21	3	1	12	17	44	45	7	39	52	46	16	3	9	12	21	9	4	10	25	21	14	1	14	14	20	14	3	7	12	24	21	10	11	24	21	11	0	7	16	21	25	9	17	12	13	4	0	14	19	35	15	1	9	41	23	24	1	11	12	31	36	6	25	42	46	11	0	12	26	16	7	0	8	18	25	13	15	50	44	12	8	0	18	20	26	40	7	17	30	50	30	2	10	22	34	18	11	42	20	40	31	5	12	25	33	14	12	16	20	11	8	5	25	13	15	8	0	6	7	20	14	4	14	30	19	24	0	25	37	23	10	8	20	41	67	98	0	11	17	23	15	2	19	16	18	11	14	43	46	47	18	1	4	10	19	32	4	12	26	28	8	2	6	15	26	29	7	16	28	47	18	11	43	50	59	36	6	24	24	21	8	8	15	18	25	30	3	14	36	46	29	7	17	31	40	15	2	10	19	10	11	6	22	24	34	30	12	20	26	20	12	6	12	22	31	20	4	24	32	25	17	3	25	32	31	25	6	15	22	11	9	6	23	21	32	21	chr1	1514000	1514499	44.0	22.0	5.0	3.0	6.0	2.0	5.0	13.0	37.0	28.0	5.0	10.0	17.0	15.0	8.0	4.0	29.0	27.0	26.0	15.0	4.0	29.0	28.0	22.0	10.0	7.0	26.0	57.0	48.0	10.0	7.0	19.0	32.0	26.0	23.0	4.0	23.0	25.0	25.0	8.0	2.0	9.0	13.0	13.0	4.0	2.0	6.0	13.0	34.0	22.0	0.0	0.0	5.0	13.0	7.0	9.0	5.0	11.0	26.0	16.0	6.0	3.0	13.0	11.0	7.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	6.0	11.0	3.0	1.0	5.0	4.0	3.0	10.0	3.0	3.0	4.0	6.0	4.0	2.0	6.0	4.0	16.0	8.0	0.0	3.0	4.0	10.0	1.0
chr1	2153000	2153499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	2153000	2153499	0.0	1.0	2.0	29.0	91.0	1.0	1.0	2.0	35.0	96.0	5.0	5.0	21.0	27.0	23.0	2.0	2.0	13.0	49.0	87.0	0.0	0.0	1.0	16.0	102.0	8.0	4.0	12.0	46.0	114.0	1.0	0.0	3.0	30.0	160.0	0.0	1.0	3.0	26.0	100.0	0.0	0.0	3.0	23.0	44.0	34.0	14.0	7.0	17.0	39.0	14.0	3.0	2.0	2.0	7.0	1.0	5.0	6.0	29.0	95.0	0.0	0.0	0.0	8.0	47.0	0.0	0.0	0.0	3.0	13.0	2.0	1.0	16.0	16.0	6.0	1.0	5.0	3.0	13.0	37.0	1.0	1.0	1.0	4.0	19.0	0.0	2.0	1.0	13.0	34.0	0.0	0.0	2.0	6.0	21.0
chr1	2237000	2237499	1	0	3	8	11	0	1	5	33	10	0	0	2	3	11	1	3	9	6	5	0	0	14	27	19	3	1	7	8	5	0	1	3	8	6	0	1	6	8	6	1	4	7	13	9	1	0	5	9	6	0	1	4	14	10	1	4	10	17	7	6	3	1	5	3	1	3	2	13	14	0	0	8	24	9	0	3	5	14	8	6	4	7	4	21	0	1	7	26	17	2	4	3	10	10	1	1	5	19	5	0	3	8	17	11	0	3	2	7	13	1	0	5	14	5	2	1	0	6	8	0	1	7	7	10	0	0	8	18	7	1	4	3	17	5	0	1	6	10	9	0	2	0	3	19	0	2	6	16	12	1	4	14	25	2	1	3	0	9	9	0	1	9	11	3	1	1	4	10	11	3	5	40	43	24	2	2	7	7	7	0	1	5	5	1	0	2	9	3	3	1	3	9	15	12	2	1	11	17	9	0	2	6	19	7	2	0	3	1	9	1	1	7	15	9	0	0	6	24	8	2	5	13	11	13	1	1	7	24	21	0	0	2	11	9	0	1	3	7	7	1	2	6	24	6	2	1	3	18	12	0	2	12	13	7	0	1	4	22	15	chr1	2237000	2237499	2.0	2.0	9.0	25.0	84.0	0.0	4.0	12.0	52.0	49.0	2.0	18.0	21.0	17.0	11.0	0.0	3.0	6.0	39.0	74.0	1.0	6.0	17.0	41.0	54.0	1.0	8.0	16.0	67.0	134.0	1.0	8.0	23.0	50.0	63.0	3.0	5.0	13.0	37.0	53.0	2.0	2.0	10.0	13.0	16.0	40.0	19.0	9.0	4.0	9.0	17.0	3.0	1.0	1.0	0.0	8.0	19.0	17.0	30.0	63.0	0.0	0.0	1.0	23.0	22.0	0.0	0.0	0.0	9.0	12.0	0.0	2.0	8.0	15.0	14.0	23.0	6.0	5.0	7.0	4.0	1.0	1.0	2.0	5.0	4.0	3.0	10.0	9.0	16.0	10.0	0.0	0.0	2.0	12.0	5.0
chr1	2240500	2240999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	2240500	2240999	2.0	9.0	19.0	34.0	30.0	2.0	1.0	13.0	39.0	21.0	11.0	21.0	11.0	18.0	8.0	3.0	1.0	9.0	35.0	58.0	3.0	5.0	19.0	24.0	21.0	0.0	2.0	9.0	52.0	54.0	2.0	21.0	39.0	61.0	31.0	1.0	8.0	14.0	44.0	40.0	6.0	18.0	13.0	12.0	9.0	15.0	13.0	20.0	19.0	25.0	12.0	9.0	1.0	1.0	0.0	17.0	19.0	19.0	41.0	28.0	0.0	0.0	1.0	21.0	31.0	0.0	0.0	1.0	6.0	12.0	0.0	0.0	1.0	18.0	16.0	7.0	4.0	4.0	22.0	12.0	1.0	1.0	3.0	11.0	6.0	8.0	6.0	11.0	21.0	12.0	0.0	0.0	8.0	13.0	3.0
chr1	3086500	3086999	0	3	4	67	92	0	4	2	48	117	0	2	1	29	52	0	0	5	63	27	1	2	10	93	65	1	1	8	26	59	0	4	16	174	56	0	4	7	85	38	0	5	7	29	52	0	1	2	43	21	3	3	0	39	65	1	1	7	90	47	0	1	0	17	51	0	0	1	43	86	0	5	4	63	63	0	1	3	64	118	0	4	3	47	80	0	2	13	103	69	0	0	0	39	65	0	0	3	28	97	0	0	5	90	51	0	3	4	62	108	0	3	6	43	91	1	2	4	56	35	0	1	2	35	83	1	1	11	141	11	0	3	4	40	88	1	2	8	61	45	0	2	6	47	33	1	1	7	46	74	0	3	4	97	56	1	10	16	116	52	2	0	4	64	31	1	7	3	56	32	0	2	3	107	187	0	2	3	45	30	0	4	2	56	71	0	3	2	33	64	0	1	7	114	71	0	0	6	74	130	0	1	6	66	45	0	1	3	35	32	0	1	10	76	48	1	1	5	43	94	0	4	9	51	46	0	3	5	46	103	1	3	8	95	54	0	4	12	97	61	0	3	3	113	11	3	4	4	37	101	0	3	1	39	76	0	1	2	75	110	chr1	3086500	3086999	0.0	1.0	4.0	11.0	57.0	2.0	1.0	3.0	21.0	31.0	0.0	0.0	1.0	15.0	40.0	0.0	0.0	3.0	10.0	40.0	0.0	1.0	2.0	7.0	36.0	0.0	0.0	5.0	34.0	41.0	0.0	0.0	3.0	24.0	94.0	0.0	0.0	2.0	16.0	53.0	0.0	0.0	3.0	10.0	22.0	0.0	0.0	1.0	10.0	61.0	0.0	0.0	0.0	0.0	9.0	27.0	22.0	10.0	34.0	59.0	0.0	1.0	3.0	16.0	17.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	10.0	22.0	0.0	1.0	1.0	17.0	36.0	0.0	0.0	3.0	17.0	49.0	1.0	0.0	3.0	23.0	51.0	0.0	0.0	6.0	26.0	36.0
chr1	6535000	6535499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	6535000	6535499	0.0	0.0	2.0	2.0	50.0	0.0	0.0	0.0	6.0	26.0	2.0	0.0	1.0	4.0	44.0	0.0	1.0	1.0	6.0	31.0	0.0	0.0	2.0	3.0	50.0	2.0	0.0	0.0	9.0	95.0	0.0	0.0	0.0	3.0	59.0	0.0	0.0	0.0	3.0	43.0	0.0	0.0	1.0	1.0	13.0	0.0	0.0	1.0	3.0	25.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	11.0	33.0	0.0	0.0	0.0	4.0	40.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	5.0	29.0	0.0	0.0	0.0	0.0	20.0	4.0	3.0	1.0	7.0	13.0	0.0	0.0	0.0	0.0	26.0	0.0	1.0	0.0	8.0	30.0
chr1	6689000	6689499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	6689000	6689499	0.0	0.0	1.0	9.0	94.0	0.0	3.0	5.0	11.0	75.0	0.0	0.0	1.0	13.0	42.0	0.0	3.0	2.0	17.0	64.0	0.0	0.0	1.0	11.0	56.0	1.0	2.0	5.0	45.0	199.0	0.0	1.0	0.0	15.0	59.0	0.0	2.0	1.0	13.0	54.0	0.0	1.0	3.0	4.0	43.0	0.0	0.0	1.0	10.0	60.0	0.0	0.0	0.0	1.0	22.0	0.0	1.0	0.0	11.0	16.0	0.0	0.0	0.0	6.0	49.0	0.0	0.0	0.0	3.0	3.0	0.0	1.0	3.0	8.0	29.0	0.0	0.0	0.0	3.0	10.0	10.0	10.0	0.0	12.0	24.0	0.0	0.0	0.0	3.0	10.0	0.0	2.0	4.0	12.0	38.0
chr1	7333000	7333499	0	0	1	3	19	0	1	0	1	34	0	0	0	2	7	0	0	0	6	9	0	0	0	8	42	0	0	2	1	17	0	0	1	4	11	0	0	0	1	10	0	0	0	5	15	0	0	0	1	10	0	1	0	2	19	3	0	1	1	15	0	0	0	3	16	0	0	0	2	8	0	0	0	4	22	0	0	0	1	25	0	0	0	2	30	0	0	1	6	26	0	0	0	2	13	0	0	0	1	17	0	0	0	3	12	0	0	0	2	5	0	0	0	5	12	0	0	1	1	5	0	0	0	1	20	0	0	0	2	31	0	0	0	2	9	0	0	0	3	12	0	1	0	2	13	0	0	0	1	14	0	1	1	5	33	0	1	1	6	18	0	0	1	0	11	1	4	0	2	17	0	0	0	4	68	1	0	1	2	10	0	0	0	1	22	0	0	0	0	14	0	0	0	7	31	0	0	0	5	10	0	0	0	2	5	0	0	0	2	5	0	0	0	2	29	1	0	0	0	25	0	0	0	6	32	0	1	1	2	26	0	0	0	4	10	0	0	1	3	14	0	0	0	2	21	0	0	2	0	16	0	1	0	3	26	0	0	1	1	22	chr1	7333000	7333499	1.0	5.0	4.0	34.0	110.0	0.0	2.0	7.0	58.0	105.0	0.0	1.0	4.0	15.0	40.0	1.0	11.0	11.0	39.0	53.0	1.0	2.0	4.0	28.0	88.0	0.0	4.0	11.0	120.0	117.0	0.0	1.0	3.0	32.0	95.0	0.0	4.0	1.0	46.0	88.0	0.0	2.0	2.0	9.0	48.0	1.0	3.0	5.0	28.0	80.0	0.0	0.0	0.0	3.0	25.0	2.0	5.0	3.0	24.0	70.0	1.0	4.0	12.0	18.0	10.0	16.0	4.0	0.0	0.0	2.0	0.0	1.0	1.0	11.0	32.0	3.0	1.0	1.0	8.0	34.0	0.0	0.0	1.0	4.0	8.0	2.0	14.0	7.0	19.0	17.0	0.0	0.0	1.0	8.0	19.0
chr1	9685500	9685999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	9685500	9685999	2.0	3.0	7.0	10.0	20.0	2.0	1.0	6.0	11.0	15.0	2.0	8.0	15.0	11.0	13.0	1.0	5.0	6.0	7.0	30.0	1.0	1.0	12.0	21.0	23.0	10.0	26.0	21.0	29.0	7.0	1.0	4.0	9.0	41.0	56.0	2.0	5.0	13.0	17.0	7.0	2.0	0.0	4.0	16.0	16.0	11.0	5.0	13.0	14.0	6.0	4.0	11.0	6.0	1.0	0.0	0.0	0.0	0.0	11.0	27.0	0.0	0.0	2.0	9.0	18.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	11.0	9.0	18.0	0.0	2.0	3.0	4.0	6.0	0.0	1.0	1.0	7.0	3.0	0.0	0.0	1.0	8.0	9.0	0.0	0.0	3.0	13.0	6.0
chr1	9737000	9737499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chr1	9737000	9737499	11.0	5.0	9.0	10.0	22.0	0.0	3.0	1.0	17.0	52.0	1.0	8.0	7.0	28.0	21.0	2.0	11.0	6.0	21.0	33.0	31.0	6.0	7.0	12.0	8.0	2.0	9.0	11.0	30.0	59.0	9.0	17.0	21.0	36.0	52.0	6.0	10.0	8.0	22.0	51.0	2.0	6.0	8.0	17.0	24.0	4.0	5.0	3.0	15.0	35.0	3.0	0.0	0.0	5.0	7.0	16.0	6.0	2.0	21.0	66.0	0.0	0.0	1.0	6.0	42.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	1.0	14.0	28.0	2.0	1.0	1.0	9.0	36.0	7.0	4.0	4.0	11.0	29.0	1.0	3.0	0.0	10.0	33.0	2.0	5.0	5.0	20.0	23.0
